,mukey,om,cec,ph
724,399776,3.0,20.0,7.0
725,399803,0.0,18.0,7.0
726,3182568,0.0,20.0,8.0
727,2669024,2.0,20.0,7.0
728,399802,2.0,20.0,7.0
729,403236,3.0,21.0,7.0
730,396153,9.0,36.0,7.0
731,396132,0.0,34.0,8.0
732,399776,0.0,18.0,7.0
733,183024,1.0,28.0,6.0
734,3182568,4.0,25.0,8.0
735,1595766,3.0,20.0,7.0
736,2669022,2.0,22.0,7.0
737,435877,2.0,8.0,7.0
738,399800,2.0,17.0,8.0
739,244688,1.0,16.0,6.0
740,3182568,0.0,18.0,8.0
741,399777,0.0,17.0,7.0
742,403266,2.0,25.0,6.0
743,399776,1.0,19.0,7.0
744,3182568,1.0,24.0,8.0
745,403232,1.0,12.0,7.0
746,403268,4.0,20.0,6.0
747,403268,0.0,18.0,6.0
748,399803,0.0,18.0,7.0
749,403232,8.0,26.0,7.0
750,183054,3.0,19.0,7.0
751,403266,0.0,17.0,7.0
752,399781,2.0,23.0,6.0
753,399802,2.0,20.0,6.0
754,403266,2.0,25.0,6.0
755,1612280,4.0,19.0,7.0
756,399776,3.0,20.0,7.0
757,399803,0.0,15.0,8.0
758,399781,2.0,20.0,6.0
759,399803,3.0,20.0,7.0
760,403236,3.0,21.0,7.0
761,399776,0.0,18.0,7.0
762,399778,2.0,20.0,7.0
763,3182568,0.0,18.0,8.0
764,403217,1.0,24.0,7.0
765,2669022,2.0,19.0,6.0
766,183070,0.0,19.0,7.0
767,396132,0.0,22.0,7.0
768,403266,0.0,35.0,6.0
769,403266,2.0,21.0,6.0
770,399803,2.0,20.0,7.0
771,2669022,1.0,23.0,7.0
772,399779,0.0,17.0,7.0
773,3182568,0.0,20.0,8.0
774,3182562,0.0,20.0,8.0
775,403232,8.0,26.0,7.0
776,399774,3.0,23.0,6.0
777,3182568,6.0,30.0,7.0
778,399779,1.0,19.0,7.0
779,403266,4.0,19.0,6.0
780,399776,4.0,20.0,7.0
781,403232,3.0,21.0,7.0
782,1150810,2.0,21.0,7.0
783,2669022,1.0,26.0,7.0
784,3182568,0.0,18.0,8.0
785,403269,0.0,12.0,8.0
786,403232,1.0,13.0,7.0
787,403236,3.0,18.0,6.0
788,403217,1.0,13.0,7.0
789,403236,0.0,18.0,7.0
790,403212,1.0,6.0,6.0
791,403266,3.0,18.0,6.0
792,396132,6.0,29.0,7.0
793,403211,0.0,3.0,6.0
794,403268,0.0,18.0,6.0
795,3182568,0.0,20.0,8.0
796,403268,0.0,18.0,7.0
797,403268,0.0,12.0,6.0
798,399781,0.0,15.0,8.0
799,403234,2.0,21.0,7.0
800,396132,5.0,30.0,6.0
801,403240,0.0,11.0,6.0
802,399796,2.0,27.0,6.0
803,396132,0.0,17.0,7.0
804,399776,2.0,20.0,7.0
